Date,ZT=F
2012-11-27,7.089181908415121e-05
2012-11-28,0.00014177358758060699
2012-11-29,0.0
2012-11-30,0.0001417534906797968
2012-12-03,-7.086669973777049e-05
2012-12-04,0.0002126151665484688
2012-12-05,-7.085665698292054e-05
2012-12-06,0.0
2012-12-07,7.086167800451904e-05
2012-12-10,0.0
2012-12-11,0.0
2012-12-12,-7.085665698292054e-05
2012-12-13,0.0
2012-12-14,0.00028344671201807614
2012-12-17,-0.00014168319637286597
2012-12-18,-0.0004959614567096038
2012-12-19,0.0
2012-12-20,0.0
2012-12-21,0.00014177358758060699
2012-12-24,0.0
2012-12-26,0.0
2012-12-27,0.00021263023601947317
2012-12-28,7.086167800451904e-05
2012-12-31,0.0
2013-01-02,-0.0003542832849146027
2013-01-03,-0.00021264530762687972
