Date,HG=F
2012-11-30,0.011425355750946942
2012-12-03,0.0028930136095988157
2012-12-04,-0.001785715806240873
2012-12-05,0.009219748236286573
2012-12-06,-0.010908088696391371
2012-12-07,0.0056520386431346825
2012-12-10,0.011788891674887392
2012-12-11,-0.005283841499872266
2012-12-12,0.007899766777140771
2012-12-13,-0.015000008054681602
2012-12-14,0.005624899050715282
2012-12-17,-0.004365629629321188
2012-12-18,-0.003425609187576728
2012-12-19,-0.01141203203181429
2012-12-20,-0.019471469453606005
2012-12-21,0.008652463638292973
2012-12-24,-0.006047000546106296
2012-12-26,0.013865315762949582
2012-12-27,0.001953661621681535
2012-12-28,-0.003481841104174266
2012-12-31,0.01774980451676411
2013-01-02,0.02293323474420661
2013-01-03,-0.006175326157197292
2013-01-04,-0.006213697767554538
