Date,ZF=F
2012-11-21,-0.0010031347962382586
2012-11-23,-0.00025103552152627717
2012-11-26,0.0008788449466414772
2012-11-27,0.0005017561465128217
2012-11-28,0.0010030090270811698
2012-11-29,0.00012525050100209434
2012-11-30,0.0006261740763933155
2012-12-03,-0.0005632040050063125
2012-12-04,0.00012522697389028004
2012-12-05,0.0006886621173229912
2012-12-06,6.256256256254034e-05
2012-12-07,-0.0006255864873319084
2012-12-10,0.0001877934272300763
2012-12-11,-0.0005632745024408692
2012-12-12,-0.0003131066441229846
2012-12-13,-0.0015033826108744597
2012-12-14,0.00012547051442912682
2012-12-17,-0.0013172751223183843
2012-12-18,-0.0015074429998115368
2012-12-19,0.0007548594074353598
2012-12-20,0.0
2012-12-21,0.0006914325224716134
2012-12-24,-0.0006909547738693789
