Date,ZS=F
2012-11-30,-0.006388121546961334
2012-12-03,0.010425716768027726
2012-12-04,0.001203783319002616
2012-12-05,0.01631741669529374
2012-12-06,0.00811221902991388
2012-12-07,-0.012740989103101397
2012-12-10,0.0016980811682798524
2012-12-11,-0.0018647228343786626
2012-12-12,0.0010190217391303769
2012-12-13,0.002035968781812114
2012-12-14,0.013206908228919678
2012-12-17,0.0001671122994653107
2012-12-18,-0.02021720969089391
2012-12-19,-0.01978171896316505
2012-12-20,-0.0196590118302018
2012-12-21,0.015616681455190795
2012-12-24,0.006290407129128095
2012-12-26,-0.010592116686924835
2012-12-27,-0.004036504036504018
2012-12-28,0.0037004405286342745
2012-12-31,-0.0036867977528090012
2013-01-02,-0.009339207048458142
2013-01-03,-0.001778726431874822
