Date,ZC=F
2012-12-03,0.0013368983957218195
2012-12-04,-0.0033377837116155273
2012-12-05,0.009042196918955137
2012-12-06,-0.0073016926651178204
2012-12-07,-0.02006018054162484
2012-12-10,-0.008188331627430934
2012-12-11,-0.0034399724802202103
2012-12-12,-0.004487400759406235
2012-12-13,-0.012135922330097082
2012-12-14,0.009126009126009027
2012-12-17,0.007304347826087021
2012-12-18,-0.0055248618784530246
2012-12-19,-0.023611111111111138
2012-12-20,-0.009246088193456625
2012-12-21,0.007896625987078298
2012-12-24,0.0032051282051281937
2012-12-26,-0.015619453319133836
2012-12-27,-0.0025243418680129803
2012-12-28,0.003615328994938549
2012-12-31,0.006123919308357317
2013-01-02,-0.01074113856068748
2013-01-03,-0.0021715526601520097
2013-01-04,-0.01305767138193692
2013-01-07,0.007717750826901959
