Date,^RUT
2012-11-29,0.01192380111497382
2012-11-30,-0.0015549432433111798
2012-12-03,-0.0013626571204923277
2012-12-04,0.0016081960816887175
2012-12-05,-0.001848902277377773
2012-12-06,0.0014501614389599293
2012-12-07,0.0005841413460145883
2012-12-10,0.004852408746033987
2012-12-11,0.010565657741594459
2012-12-12,-0.006706637985403385
2012-12-13,-0.006257613848421162
2012-12-14,-0.0005459987871465621
2012-12-17,0.01365705614567525
2012-12-18,0.015197607714259043
2012-12-19,0.00023594970620766098
2012-12-20,0.005425203158978986
2012-12-21,-0.005360775348180136
2012-12-24,-0.003750345244685871
2012-12-26,-0.0069251789350168735
2012-12-27,-0.0017761449157306375
2012-12-28,-0.006329172048727294
2012-12-31,0.020730682016729007
2013-01-02,0.028339327740150466
