Date,NG=F
2012-12-04,-0.014480658484082753
2012-12-05,0.04549308047176015
2012-12-06,-0.009189231857232416
2012-12-07,-0.0313692783929157
2012-12-10,-0.02562660576686926
2012-12-11,-0.013872860331090364
2012-12-12,-0.008792488836357304
2012-12-13,-0.010348931444858933
2012-12-14,-0.009859573802733723
2012-12-17,0.013277051966402942
2012-12-18,0.017867761186378894
2012-12-19,-0.02867175251119003
2012-12-20,0.04277107313281814
2012-12-21,-0.003177330538239209
2012-12-24,-0.03042596923440022
2012-12-26,0.013747759837955398
2012-12-27,-0.011202791521717104
2012-12-28,0.034287419915812745
2012-12-31,-0.03401557425164636
2013-01-02,-0.03521337750895348
2013-01-03,-0.010825884750097381
2013-01-04,0.027829889906976435
2013-01-07,-0.006388776642841543
2013-01-08,-0.01469690655181699
