Date,^IXIC
2012-11-28,0.008083452642746014
2012-11-29,0.006768545749253896
2012-11-30,-0.0005942965525207455
2012-12-03,-0.002670896369918352
2012-12-04,-0.0018353240474453525
2012-12-05,-0.007671794774866347
2012-12-06,0.0052359244762536505
2012-12-07,-0.0037567634892049506
2012-12-10,0.0029952323534938596
2012-12-11,0.011831456850038613
2012-12-12,-0.002809115606396184
2012-12-13,-0.00718364663447868
2012-12-14,-0.006961470842542838
2012-12-17,0.01321631003581758
2012-12-18,0.014591752546219805
2012-12-19,-0.0033294555226032196
2012-12-20,0.001980641232799618
2012-12-21,-0.009631517231283748
2012-12-24,-0.0027838080913963337
2012-12-26,-0.007448776744159669
2012-12-27,-0.0014213286663327107
2012-12-28,-0.008573551871677298
2012-12-31,0.019997888734667457
2013-01-02,0.030716904299051828
