Date,ZB=F
2012-11-29,-0.0010322047894302244
2012-11-30,0.001239925604463732
2012-12-03,-0.002270381836945279
2012-12-04,0.0026892842366570413
2012-12-05,0.0008252527336496396
2012-12-06,0.0016491445062873922
2012-12-07,-0.00637991356246137
2012-12-10,0.0012427506213752437
2012-12-11,-0.004551096400496446
2012-12-12,-0.006234413965087282
2012-12-13,-0.0016729401923881726
2012-12-14,0.00356095517385846
2012-12-17,-0.00709663953245665
2012-12-18,-0.009039310489804553
2012-12-19,0.004879083580823007
2012-12-20,-0.010344099641123039
2012-12-21,0.007039249146757687
2012-12-24,-0.0019063757678458026
2012-12-26,0.0014855687606112333
2012-12-27,0.005933460478914965
2012-12-28,0.0002106593638087073
2012-12-31,-0.005897219882055604
2013-01-02,-0.012076271186440724
