Date,CL=F
2012-11-29,0.01826802948409534
2012-11-30,0.00953791268531723
2012-12-03,0.002024436715414968
2012-12-04,-0.006622475722784293
2012-12-05,-0.007005680752339316
2012-12-06,-0.018434173507265283
2012-12-07,-0.003825664536079132
2012-12-10,-0.004305862274735062
2012-12-11,0.0026882113545654285
2012-12-12,0.011423192878899924
2012-12-13,-0.010141722801233821
2012-12-14,0.009779997360046533
2012-12-17,0.005419042697073939
2012-12-18,0.008371598422955095
2012-12-19,0.017968859610724808
2012-12-20,0.006926545664068584
2012-12-21,-0.01630970416181654
2012-12-24,-0.0005639865744690997
2012-12-26,0.026746447695037645
2012-12-27,-0.0012090635996131471
2012-12-28,-0.0007703278607733566
2012-12-31,0.011233442828024964
2013-01-02,0.014158168765830537
2013-01-03,-0.0021478154181440168
