Date,GC=F
2012-11-28,-0.014751436053357825
2012-11-29,0.006233586467739638
2012-11-30,-0.009437197324347557
2012-12-03,0.0050850143478455845
2012-12-04,-0.014654542643435686
2012-12-05,-0.0011803588120766761
2012-12-06,0.0046679415623369636
2012-12-07,0.002176057793108477
2012-12-10,0.005281690140845008
2012-12-11,-0.002802130080633347
2012-12-12,0.0049174714050892465
2012-12-13,-0.012233484969514818
2012-12-14,0.0001179955443904035
2012-12-17,0.0007076018028802089
2012-12-18,-0.016205067766646986
2012-12-19,-0.0017969451931716396
2012-12-20,-0.01296128147971043
2012-12-21,0.00863271381914732
2012-12-24,-0.00030136821611570497
2012-12-26,0.0007235459181551551
2012-12-27,0.0016869060582263007
2012-12-28,-0.004631271072382481
2012-12-31,0.012024910339286654
2013-01-02,0.007821814666833626
