Date,ZN=F
2012-11-27,0.0012870012870012104
2012-11-28,0.001986445431175543
2012-11-29,0.00023323615160353306
2012-11-30,0.0008161361781509058
2012-12-03,-0.0011649580615097355
2012-12-04,0.0008164217401445129
2012-12-05,0.0015149749446452532
2012-12-06,0.0005818012566907171
2012-12-07,-0.002209559251075688
2012-12-10,0.00034965034965028785
2012-12-11,-0.0013981125480601042
2012-12-12,-0.002333450005833626
2012-12-13,-0.002338907730090045
2012-12-14,0.0007033173133279558
2012-12-17,-0.0030455663582054093
2012-12-18,-0.0030548701680178647
2012-12-19,0.0022392457277549127
2012-12-20,-0.005409219190968928
2012-12-21,0.002482856467249883
2012-12-24,-0.0011793843613633337
2012-12-26,0.0012988546463572614
2012-12-27,0.0031839622641509635
2012-12-28,0.00023510050546615702
2012-12-31,-0.001292748854154424
