date,time,price
2021-10-19,10:00:00,864.6500244140625
2021-10-19,10:30:00,868.75
2021-10-19,11:00:00,870.2689819335938
2021-10-19,11:30:00,869.1300048828125
2021-10-19,12:00:00,870.7000122070312
2021-10-19,12:30:00,872.9099731445312
2021-10-19,13:00:00,871.7481079101562
2021-10-19,13:30:00,874.5
2021-10-19,14:00:00,874.5
2021-10-19,14:30:00,870.5349731445312
2021-10-19,15:00:00,869.469970703125
2021-10-19,15:30:00,867.7899780273438
2021-10-19,16:00:00,864.1599731445312
2021-10-20,09:30:00,864.5
2021-10-20,10:00:00,862.1599731445312
2021-10-20,10:30:00,868.1099853515625
2021-10-20,11:00:00,864.1900024414062
2021-10-20,11:30:00,866.1599731445312
2021-10-20,12:00:00,868.0900268554688
2021-10-20,12:30:00,865.2833862304688
2021-10-20,13:00:00,866.6199951171875
2021-10-20,13:30:00,863.75
2021-10-20,14:00:00,866.2899780273438
2021-10-20,14:30:00,867.1895751953125
2021-10-20,15:00:00,866.3400268554688
2021-10-20,15:30:00,863.219970703125
2021-10-20,16:00:00,865.7899780273438
2021-10-21,09:30:00,856.0
2021-10-21,10:00:00,881.7899780273438
2021-10-21,10:30:00,895.25
2021-10-21,11:00:00,897.6400146484375
2021-10-21,11:30:00,889.3200073242188
2021-10-21,12:00:00,891.889892578125
2021-10-21,12:30:00,894.1099853515625
2021-10-21,13:00:00,894.260009765625
2021-10-21,13:30:00,892.0700073242188
2021-10-21,14:00:00,889.8900146484375
2021-10-21,14:30:00,893.0
2021-10-21,15:00:00,894.3499145507812
2021-10-21,15:30:00,894.676025390625
2021-10-21,16:00:00,893.5999755859375
2021-10-22,09:30:00,895.5
2021-10-22,10:00:00,904.8400268554688
2021-10-22,10:30:00,909.0
2021-10-22,11:00:00,905.1621704101562
2021-10-22,11:30:00,902.8699951171876
2021-10-22,12:00:00,902.3499755859376
2021-10-22,12:30:00,905.239990234375
2021-10-22,13:00:00,903.7899780273438
2021-10-22,13:30:00,904.7000122070312
2021-10-22,14:00:00,905.6126708984376
2021-10-22,14:30:00,906.85009765625
2021-10-22,15:00:00,904.8499755859376
2021-10-22,15:30:00,905.6400146484376
2021-10-22,16:00:00,909.5
2021-10-25,09:30:00,948.5050048828124
2021-10-25,10:00:00,953.0
2021-10-25,10:30:00,975.6099853515624
2021-10-25,11:00:00,972.75
2021-10-25,11:30:00,966.0499877929688
2021-10-25,12:00:00,974.6599731445312
2021-10-25,12:30:00,990.780029296875
2021-10-25,13:00:00,990.219970703125
2021-10-25,13:30:00,994.0225219726562
2021-10-25,14:00:00,995.9600830078124
2021-10-25,14:30:00,1024.1800537109377
2021-10-25,15:00:00,1021.010009765625
2021-10-25,15:30:00,1026.85986328125
2021-10-25,16:00:00,1024.8599853515623
2021-10-26,09:30:00,1024.68994140625
2021-10-26,10:00:00,1071.4599609375
2021-10-26,10:30:00,1080.8199462890623
2021-10-26,11:00:00,1077.02001953125
2021-10-26,11:30:00,1047.5050048828123
2021-10-26,12:00:00,1033.1800537109377
2021-10-26,12:30:00,1034.8299560546877
2021-10-26,13:00:00,1016.4879150390624
2021-10-26,13:30:00,1011.260009765625
2021-10-26,14:00:00,1018.989990234375
2021-10-26,14:30:00,1033.2325439453123
2021-10-26,15:00:00,1042.6400146484377
2021-10-26,15:30:00,1022.77001953125
2021-10-26,16:00:00,1018.5800170898438
2021-10-27,09:30:00,1039.6600341796877
2021-10-27,10:00:00,1060.81005859375
2021-10-27,10:30:00,1055.47998046875
2021-10-27,11:00:00,1063.1099853515623
2021-10-27,11:30:00,1057.18994140625
2021-10-27,12:00:00,1056.0699462890623
2021-10-27,12:30:00,1044.1099853515623
2021-10-27,13:00:00,1048.0
2021-10-27,13:30:00,1044.75
2021-10-27,14:00:00,1041.68994140625
2021-10-27,14:30:00,1038.7000732421877
2021-10-27,15:00:00,1041.8741455078123
2021-10-27,15:30:00,1034.0999755859377
2021-10-27,16:00:00,1038.0
2021-10-28,09:30:00,1068.3050537109377
2021-10-28,10:00:00,1059.8399658203123
2021-10-28,10:30:00,1060.1800537109377
2021-10-28,11:00:00,1069.0
2021-10-28,11:30:00,1070.83984375
2021-10-28,12:00:00,1072.2099609375
2021-10-28,12:30:00,1076.949951171875
2021-10-28,13:00:00,1069.72998046875
2021-10-28,13:30:00,1073.25
2021-10-28,14:00:00,1069.5899658203123
2021-10-28,14:30:00,1072.7701416015623
2021-10-28,15:00:00,1070.43505859375
2021-10-28,15:30:00,1069.753173828125
2021-10-28,16:00:00,1077.0899658203123
2021-10-29,09:30:00,1081.8599853515623
2021-10-29,10:00:00,1096.7149658203123
2021-10-29,10:30:00,1088.75
2021-10-29,11:00:00,1089.9998779296877
2021-10-29,11:30:00,1091.3599853515623
2021-10-29,12:00:00,1090.56005859375
2021-10-29,12:30:00,1092.2601318359377
2021-10-29,13:00:00,1095.6800537109377
2021-10-29,13:30:00,1101.9512939453123
2021-10-29,14:00:00,1096.6700439453123
2021-10-29,14:30:00,1096.685302734375
2021-10-29,15:00:00,1099.3699951171877
2021-10-29,15:30:00,1100.530029296875
2021-10-29,16:00:00,1114.1800537109377
