ticker,date,time,headline,neg,neu,pos,compound
AMZN,2021-10-25,07:51AM,"Apple, Microsoft, Alphabet, Facebook and Amazon are part of Zacks Earnings Preview",0.0,0.866,0.134,0.1779
AMZN,2021-10-25,07:29AM,France moves to shield its book industry from Amazon,0.0,0.825,0.175,0.1779
AMZN,2021-10-25,07:24AM,France moves to shield its book industry from Amazon,0.0,0.825,0.175,0.1779
AMZN,2021-10-25,05:08AM,Twitter CEO Jack Dorsey is right to scare everyone about hyperinflation: Morning Brief,0.211,0.789,0.0,-0.4939
AMZN,2021-10-25,02:45AM,"Amazon, Microsoft execs join effort to promote Seattle's 2026 World Cup bid",0.0,0.581,0.419,0.6705
AMZN,2021-10-24,05:06PM,Big Tech companies report earnings: What to know this week,0.0,1.0,0.0,0.0
AMZN,2021-10-24,04:16PM,"Holiday earnings forecasts have been lumps of coal so far, and here come the biggest ones",0.0,0.847,0.153,0.4019
AMZN,2021-10-24,03:00PM,Pinterest Earnings: What to Watch on Nov. 4,0.0,1.0,0.0,0.0
AMZN,2021-10-24,10:25AM,China's property bubble just got pricked  this could mean trouble for the stock market,0.264,0.736,0.0,-0.5106
AMZN,2021-10-24,09:51AM,2-Must See Earnings Reports This Week,0.0,1.0,0.0,0.0
AMZN,2021-10-24,09:32AM,Need a Side Gig for the Holidays? This Retailer Is Hiring,0.0,0.794,0.206,0.3818
AMZN,2021-10-24,07:00AM,"These 3 Stocks Are Up at Least 7,400%. Are They Still Buys?",0.0,1.0,0.0,0.0
AMZN,2021-10-24,06:26AM,11 Best High Dividend Stocks To Buy According To Billionaire Cooperman,0.0,0.704,0.296,0.6369
AMZN,2021-10-24,04:13AM,10 Dividend Stocks to Buy According to Mark Coes Coe Capital Management,0.0,1.0,0.0,0.0
AMZN,2021-10-24,03:51AM,Top 5 Things to Watch in Markets in the Week Ahead,0.0,0.847,0.153,0.2023
AMZN,2021-10-23,11:33AM,"The PC slowdown shouldnt hurt Microsoft earnings, and heres why",0.0,0.764,0.236,0.4168
AMZN,2021-10-23,09:45AM,Amazon now delivers more US packages than FedEx,0.0,0.805,0.195,0.1779
AMZN,2021-10-23,09:30AM,3 Top E-Commerce Stocks to Buy for the Long Haul,0.0,0.833,0.167,0.2023
AMZN,2021-10-23,09:22AM,Jim Rogers: Next bear market will be the worst in my lifetime  here are 3 keys to survive it,0.186,0.814,0.0,-0.6249
AMZN,2021-10-23,08:00AM,3 Explosive Growth Stocks to Buy Hand Over Fist for the Next 10 Years,0.0,0.674,0.326,0.7003
AMZN,2021-10-23,07:52AM,The Impact of Amazon on HBO Max Subscriptions,0.0,0.805,0.195,0.1779
AMZN,2021-10-23,07:30AM,3 Top Stocks to Buy in 2021 and Hold for the Next Decade,0.0,0.87,0.13,0.2023
AMZN,2021-10-23,07:22AM,"2 No-Brainer Stocks to Buy With $1,000 Right Now",0.0,1.0,0.0,0.0
AMZN,2021-10-23,07:15AM,Amazon Believes This Could Be Bigger for Its Business Than Movies,0.0,0.855,0.145,0.1779
AMZN,2021-10-23,06:16AM,Seattles Climate Pledge Arena makes history,0.0,1.0,0.0,0.0
AMZN,2021-10-23,06:01AM,Is Pinterest Waving The White Flag in PayPal Talks?,0.0,1.0,0.0,0.0
AMZN,2021-10-23,05:17AM,Investing in This ETF Right Now Could Make You a Millionaire Retiree,0.0,1.0,0.0,0.0
AMZN,2021-10-22,06:26PM,"Procter & Gamble, Zillow, WeWork: Stocks That Defined the Week",0.0,1.0,0.0,0.0
AMZN,2021-10-22,05:38PM,Why HP Stock Looks Like a Screaming Buy,0.234,0.541,0.225,-0.0258
AMZN,2021-10-22,04:42PM,Why DLocal Stock Crashed This Week,0.0,1.0,0.0,0.0
AMZN,2021-10-22,04:24PM,"Previewing Big Tech Earnings: Apple, Microsoft and Other Giants",0.0,1.0,0.0,0.0
AMZN,2021-10-22,03:54PM,Is a big Whole Foods distribution center on its way to the Austin suburbs?,0.0,1.0,0.0,0.0
TSLA,2021-10-26,10:43PM,"Dow Jones Futures: Market Rally Stalls, Donald Trump Stock DWAC Dives; Microsoft, Google, AMD Earnings In Focus",0.0,1.0,0.0,0.0
TSLA,2021-10-26,07:00PM,Solar Stocks Are Set To Follow Tesla Higher,0.0,1.0,0.0,0.0
TSLA,2021-10-26,06:26PM,5 Best Chinese Stocks To Buy And Watch,0.0,0.625,0.375,0.6369
TSLA,2021-10-26,06:00PM,"Elon Musks Net Worth Grew by Nearly $42 Billion After Hertz Ordered 100,000 Teslas",0.0,0.872,0.128,0.2263
TSLA,2021-10-26,06:00PM,Billionaire Tudor Jones: This is the single biggest threat' to stocks and society  protect yourself now,0.17,0.7,0.13,-0.2023
TSLA,2021-10-26,05:44PM,Teslas $1 Trillion Valuation Belies Its Revenue Position,0.0,1.0,0.0,0.0
TSLA,2021-10-26,05:16PM,Elon Musk Defies a Car Industry Mantra With Tesla-Hertz Deal,0.0,1.0,0.0,0.0
TSLA,2021-10-26,04:52PM,"GM, Ford Earnings On Tap As Automakers Ramp Up Tesla Fight",0.206,0.794,0.0,-0.3818
